DATA_ALERTA,NUM_UC,GRUPO_UC,TIPO_ALERTA,CAMPO,VALOR_ANTERIOR,VALOR_NOVO,DETALHE,ARQUIVO_ORIGEM
2026-07-01,9359117,Tratamento,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,96507284,Controle,Alteração GD,GD_BENE_FIM,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,96507284,Controle,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-06,105667226,Reserva,Sem atualização,PRESENCA_NO_RELATORIO,Presente na base,Ausente no relatório,A UC não recebeu dados no último relatório processado.,mdm-sandbox_clientes_novo-20260706-20260706.csv
2026-07-10,5902126,Tratamento,Mudança de Titularidade,MUD_TIT,,2026-07-10,Mudança de titularidade registrada desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-10,84955007,Controle,Alteração cadastral,SITUACAO_UC,DS,LG,Valor cadastral alterado no último relatório.,mdm-sandbox_clientes_novo-20260714-20260714.csv
2026-07-10,84955007,Controle,Mudança de Titularidade,MUD_TIT,,2026-07-10,Mudança de titularidade registrada desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-14,105667226,Reserva,Sem atualização,PRESENCA_NO_RELATORIO,Presente na base,Ausente no relatório,A UC não recebeu dados no último relatório processado.,mdm-sandbox_clientes_novo-20260714-20260714.csv
2026-07-19,105667226,Reserva,Sem atualização,PRESENCA_NO_RELATORIO,Presente na base,Ausente no relatório,A UC não recebeu dados no último relatório processado.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-19,74629565,Controle,Alteração GD,TIPO_GD_GERA,GDII,GDI,Informação de geração distribuída alterada.,mdm-sandbox_clientes_novo-20260719-20260719.csv
